artist_name,track_name,popularity,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration,loudness_transform
Michael Levy,"Hurrian Hymn (Ancient Mesopotamian Musical Fragment c.1400BCE, Arranged For Replica 3000 Year Old Lyre)",20,2000,0.557,0.129,11,-19.08,0,0.185,0.968,0.937,0.0958,0.116,118.182,4,5.741783333333333,-3.0779572138096603
Craig David,7 Days,71,2000,0.659,0.812,4,-7.499,0,0.0487,0.23,0.0,0.0951,0.888,83.014,4,3.9188833333333335,-2.3157974244661803
The B-52's,Love in the Year 3000 - Live,5,2000,0.625,0.813,8,-5.875,1,0.0408,0.0484,1.85e-06,0.739,0.498,134.919,4,4.26555,-2.14112442686742
Disturbed,Down with the Sickness,75,2000,0.695,0.876,3,-4.262,0,0.0553,0.000996,6.89e-06,0.106,0.941,89.954,4,4.65355,-1.9309415333613917
Busted,Year 3000,6,2000,0.57,0.769,11,-8.43,1,0.047,0.000605,0.0,0.0831,0.825,107.014,4,3.2731166666666667,-2.403696594362457
Lifehouse,Hanging By A Moment,63,2000,0.537,0.858,1,-4.903,1,0.0349,0.000966,0.0,0.0812,0.502,124.599,4,3.606,-2.0198242248613325
Busted,Year 3000,2,2000,0.595,0.85,11,-6.647,1,0.0367,0.000213,0.0,0.0961,0.894,107.025,4,3.27,-2.227969299613256
Linkin Park,One Step Closer,75,2000,0.492,0.969,9,-4.419,1,0.0491,0.0014,1.32e-06,0.0787,0.538,95.136,4,2.6222166666666666,-1.953453058226042
Yello,30'000 Days,19,2000,0.694,0.721,0,-9.955,1,0.0318,0.0143,0.128,0.105,0.271,123.991,4,4.06,-2.5328234167841224
*NSYNC,Bye Bye Bye,67,2000,0.614,0.928,8,-4.806,0,0.0516,0.0408,0.00104,0.0845,0.879,172.656,4,3.3426666666666667,-2.006870848845
Blaze,Most Precious Love - DF Future 3000 Mix,10,2000,0.807,0.851,5,-7.49,1,0.051,0.000244,0.00812,0.0419,0.879,125.977,4,7.222,-2.3149088426828777
Killing Heidi,Weir,54,2000,0.327,0.684,2,-6.62,1,0.0452,0.163,3.93e-06,0.339,0.672,156.069,4,4.0811166666666665,-2.225055890484808
Jonas Brothers,Year 3000,6,2000,0.658,0.855,11,-5.85,1,0.0433,0.00407,2.38e-06,0.335,0.83,106.962,4,3.366,-2.1381820367024362
The Dandy Warhols,Bohemian Like You,70,2000,0.584,0.931,9,-6.158,1,0.0344,0.00315,0.772,0.133,0.694,131.275,4,3.52845,-2.17384221710132
Michael Levy,"Hymn To Horus (Composition For Replica 3000 Year Old Lyre, Based on a Traditional Egyptian Folk Melody)",14,2000,0.574,0.112,4,-22.383,0,0.0735,0.989,0.949,0.115,0.597,95.776,4,2.22445,-3.219555593772958
Five For Fighting,Superman (It's Not Easy),71,2000,0.382,0.416,0,-9.303,1,0.0302,0.0733,0.0,0.0719,0.125,102.089,4,3.6948833333333333,-2.4796428201129013
Busted,Year 3000,3,2000,0.57,0.77,11,-8.431,1,0.0471,0.0006,0.0,0.0831,0.832,107.013,4,3.2731166666666667,-2.403786973503013
Alice DJ,Better Off Alone,73,2000,0.671,0.88,8,-6.149,0,0.0552,0.00182,0.667,0.285,0.786,136.956,4,3.581383333333333,-2.17281803493498
Busted,Year 3000,7,2000,0.592,0.842,11,-6.681,1,0.0353,0.000219,0.0,0.0934,0.898,107.015,4,3.27,-2.2316260040535516
Men At Work,Down Under,53,2000,0.746,0.683,11,-7.416,0,0.0281,0.0521,0.0169,0.0466,0.815,107.314,4,3.7173333333333334,-2.307572634505085
Michael Levy,"Shadow of the Ziggurat (Original Composition For Replica 3000 Year Old Lyre Featuring The Rare Assyrian Hammered-Lyre Playing Technique, c.700BCE)",15,2000,0.497,0.223,11,-23.923,0,0.103,0.815,0.89,0.093,0.603,85.504,4,4.0666,-3.2792933664214683
UB40,Red Red Wine,73,2000,0.857,0.468,1,-8.53,1,0.0476,0.00414,1.32e-05,0.269,0.843,89.119,4,3.0622166666666666,-2.412694315674076
Busted,Year 3000,5,2000,0.592,0.842,11,-6.681,1,0.0353,0.000219,0.0,0.0934,0.898,107.015,4,3.27,-2.2316260040535516
Nelly Furtado,I'm Like A Bird,70,2000,0.623,0.607,10,-5.113,1,0.0353,0.147,3.29e-06,0.227,0.614,89.654,4,4.052666666666667,-2.0473056716497653
Michael Levy,"Ashir Shirim (Ancient Babylonian Jewish Wedding Song, Arranged For Replica 3000 Year Old Biblical ""Nevel"" Lyre)",13,2000,0.509,0.0912,9,-25.868,1,0.0644,0.987,0.964,0.11,0.0718,148.352,4,2.6666666666666665,-3.3499742602510203
The Beatles,Hey Jude - Remastered 2015,75,2000,0.386,0.607,10,-7.7,1,0.0261,0.0112,1.38e-05,0.088,0.532,147.207,4,7.094216666666667,-2.335439429864993
Busted,Year 3000,6,2000,0.595,0.85,11,-6.647,1,0.0367,0.000213,0.0,0.0961,0.894,107.025,4,3.27,-2.227969299613256
Ronan Keating,Lovin' Each Day,61,2000,0.541,0.899,1,-6.261,1,0.0633,0.0178,2.95e-06,0.286,0.829,106.676,4,3.54955,-2.1854893211177986
Michael Levy,Ancient Vibrations (Original Composition For Replica 3000 Year Old Lyre in the Mystical Middle Eastern Hijaz Mode),7,2000,0.506,0.106,3,-19.832,1,0.055,0.993,0.951,0.105,0.0706,86.592,4,7.791666666666667,-3.1120030552193776
Shaggy,Angel,72,2000,0.74,0.766,6,-2.939,1,0.178,0.116,0.0,0.0406,0.807,170.531,4,3.9188833333333335,-1.7179335085873995
Busted,Year 3000,5,2000,0.595,0.85,11,-6.647,1,0.0367,0.000213,0.0,0.0961,0.894,107.025,4,3.27,-2.227969299613256
The Corrs,Breathless,69,2000,0.607,0.82,11,-7.754,1,0.0597,0.0541,6.8e-05,0.269,0.768,126.988,4,3.45845,-2.340651293800502
Single By Sunday,Year 3000,10,2000,0.598,0.959,11,-4.862,1,0.127,0.00173,2.49e-06,0.135,0.678,124.904,4,2.568,-2.014369544936121
Robbie Williams,Rock DJ,70,2000,0.708,0.772,7,-4.264,1,0.0322,0.0267,0.0,0.467,0.861,103.035,4,4.309333333333333,-1.931231514514649
Busted,Year 3000,2,2000,0.595,0.85,11,-6.647,1,0.0367,0.000213,0.0,0.0961,0.894,107.025,4,3.27,-2.227969299613256
All Saints,Pure Shores,63,2000,0.631,0.664,6,-9.197,1,0.0242,0.0498,0.00042,0.0696,0.407,100.618,4,4.479116666666667,-2.4707232052715256
Craic Boi Mental,Vape Till da Year 3000,6,2000,0.529,0.541,0,-10.899,1,0.122,0.5,4.67e-05,0.109,0.351,184.616,4,2.4222333333333332,-2.6051311470943683
Limp Bizkit,My Way,71,2000,0.576,0.864,6,-3.981,1,0.0462,0.02,1.68e-06,0.683,0.609,97.225,4,4.54955,-1.889339797566919
Busted,Year 3000,0,2000,0.57,0.77,11,-8.431,1,0.0471,0.0006,0.0,0.0831,0.832,107.013,4,3.2731166666666667,-2.403786973503013
Mary Mary,Shackles (Praise You),56,2000,0.79,0.68,7,-7.807,1,0.153,0.0313,0.0,0.194,0.813,100.442,4,3.2706666666666666,-2.345740363307973
Sugafree,Pimpin In The Year 3000,6,2000,0.854,0.936,5,-4.423,0,0.144,0.256,0.0,0.156,0.74,117.675,4,3.310216666666667,-1.9540200320186933
Matchbox Twenty,If You're Gone,65,2000,0.544,0.659,9,-7.191,1,0.0298,0.427,1.33e-06,0.126,0.361,109.933,4,4.582216666666667,-2.284930157755325
Busted,Year 3000,1,2000,0.57,0.77,11,-8.431,1,0.0471,0.0006,0.0,0.0831,0.832,107.013,4,3.2731166666666667,-2.403786973503013
Nine Days,Absolutely (Story of a Girl) - Radio Mix,67,2000,0.481,0.94,7,-5.204,1,0.066,0.000891,0.0,0.0939,0.66,96.493,4,3.15555,-2.0589836997774396
Chatmonchy,たったさっきから3000年までの話,10,2000,0.411,0.679,6,-6.337,1,0.0364,0.00796,0.000398,0.115,0.0837,170.844,4,4.008216666666667,-2.1939971525771464
Limp Bizkit,Take A Look Around,72,2000,0.425,0.852,11,-5.607,1,0.046,0.0175,0.306,0.0935,0.512,101.968,4,5.350666666666666,-2.1091216957812464
Busted,Year 3000,3,2000,0.595,0.851,11,-6.647,1,0.0367,0.000212,0.0,0.096,0.895,107.025,4,3.27,-2.227969299613256
Powderfinger,My Kind Of Scene,53,2000,0.464,0.459,0,-8.218,1,0.029,0.0134,0.0149,0.0723,0.144,159.541,4,4.627783333333333,-2.3843493947966854
Michael Levy,Echoes of Ancient Egypt (Improvisation on an Ancient Egyptian Minor Pentatonic Scale - Arranged For Replica 3000 Year Old Lyre),9,2000,0.375,0.248,1,-17.896,0,0.1,0.989,0.944,0.0952,0.245,47.901,3,2.716666666666667,-3.0218872310308424
Mýa,Case Of The Ex (Whatcha Gonna Do),60,2000,0.772,0.688,1,-4.715,0,0.0405,0.0548,9.79e-05,0.0725,0.348,98.0,4,3.94845,-1.9945642495467342
Busted,Year 3000,2,2000,0.595,0.85,11,-6.647,1,0.0367,0.000213,0.0,0.0961,0.894,107.025,4,3.27,-2.227969299613256
The Offspring,Want You Bad,69,2000,0.491,0.966,4,-4.28,1,0.0538,5.59e-05,0.0,0.307,0.614,105.544,4,3.3762166666666666,-1.9335483414994328
Busted,Year 3000,0,2000,0.57,0.77,11,-8.431,1,0.0471,0.0006,0.0,0.0831,0.832,107.013,4,3.2731166666666667,-2.403786973503013
The Superjesus,Gravity,50,2000,0.537,0.88,5,-5.486,1,0.0334,0.00515,0.0,0.22,0.581,93.052,4,3.994883333333333,-2.0943301541735866
Busted,Year 3000,2,2000,0.593,0.855,11,-6.679,1,0.0365,0.000214,0.0,0.11,0.832,107.025,4,3.2668833333333334,-2.231411273539521
Linkin Park,Papercut,73,2000,0.524,0.939,9,-3.994,1,0.113,0.00022,0.0,0.623,0.661,150.184,4,3.0811166666666665,-1.8913030995643165
Black Tie Event,Year 3000,2,2000,0.665,0.751,11,-4.35,1,0.0483,0.03,0.0,0.117,0.844,112.01,4,2.61605,-1.943621818537301
Eminem,The Way I Am,71,2000,0.785,0.871,4,-2.692,0,0.265,0.144,0.0,0.309,0.315,87.248,4,4.84045,-1.6726004873917406
Busted,Year 3000,1,2000,0.592,0.842,11,-6.681,1,0.0353,0.000219,0.0,0.0934,0.898,107.015,4,3.27,-2.2316260040535516
The Hives,Hate To Say I Told You So,68,2000,0.459,0.931,5,-5.024,1,0.0612,0.00126,0.00881,0.412,0.419,135.826,4,3.344883333333333,-2.0357508530551027
Suga Free,Pimpin n tha Year 3000,10,2000,0.893,0.732,0,-11.857,0,0.143,0.423,3.75e-06,0.0963,0.872,117.655,4,3.3433333333333333,-2.673527767063787
Nelly,Country Grammar (Hot Shit),69,2000,0.865,0.664,2,-6.822,1,0.108,0.00689,0.0,0.142,0.565,162.831,4,4.783333333333333,-2.2466494606637424
Suga Free,"""Pimpin n tha Year 3000""",11,2000,0.894,0.733,5,-11.75,0,0.149,0.431,3.52e-06,0.0961,0.874,117.653,4,3.3433333333333333,-2.6661164777292643
The Beatles,I Want To Hold Your Hand - Remastered 2015,72,2000,0.49,0.715,7,-5.549,1,0.0476,0.386,0.0,0.311,0.866,130.726,4,2.429116666666667,-2.1020588315452446
UVB,3000 Years of Lies - Original Version,8,2000,0.699,0.994,7,-5.869,1,0.0442,0.000623,0.703,0.159,0.131,135.998,4,5.1470666666666665,-2.1404190424036553
Ronan Keating,Life Is A Rollercoaster,61,2000,0.655,0.791,0,-8.923,1,0.0302,0.1,0.000124,0.334,0.862,118.981,4,3.9137833333333334,-2.447291313993304
The B-52's,Love in the Year 3000 - Live,5,2000,0.623,0.552,8,-12.576,1,0.108,0.0412,0.0,0.814,0.352,134.895,4,5.588883333333333,-2.7219531062712017
28 Days,Rip It Up,49,2000,0.532,0.962,11,-4.177,0,0.0727,0.00154,0.0,0.109,0.671,110.38,4,3.6508833333333333,-1.9185389522591814
Dread MC,Hit List - Club Mix,3,2000,0.842,0.947,9,-2.509,1,0.0725,0.00798,0.247,0.122,0.707,127.985,4,2.6397333333333335,-1.637636566792779
Outkast,"So Fresh, So Clean",70,2000,0.725,0.64,5,-7.905,0,0.332,0.0281,0.0,0.099,0.915,166.028,3,4.00045,-2.3550826619517995
Michael Levy,"King David Danced (Original Composition For Replica 3000 Year Old Biblical ""Nevel"" Lyre)",8,2000,0.543,0.102,9,-23.999,1,0.0595,0.992,0.953,0.103,0.14,101.802,3,2.53845,-3.2821510483812424
Bomfunk MC's,Freestyler,57,2000,0.822,0.922,11,-5.798,0,0.0989,0.0291,0.325,0.252,0.568,163.826,4,5.10555,-2.1320339917990068
Michael Levy,"The Temple of Jerusalem (Composition For Replica 3000 Year Old Biblical ""Nevel"" Lyre, Based on a Traditional Jewish Sacred Melody)",7,2000,0.552,0.099,9,-22.4,1,0.0599,0.986,0.96,0.0964,0.0913,110.552,4,4.57045,-3.2202349009058318
Toni Braxton,He Wasn't Man Enough,68,2000,0.739,0.947,11,-1.916,0,0.0411,0.00916,3.14e-05,0.326,0.766,88.009,4,4.36555,-1.5151272329628591
Streets Of Mars,3000 (Year 3000),0,2000,0.446,0.872,9,-4.679,0,0.0416,0.00993,0.00461,0.287,0.5,143.105,4,3.3568333333333333,-1.9896535862888143
Mötley Crüe,Kickstart My Heart,49,2000,0.458,0.969,7,-4.819,0,0.177,0.0018,0.00193,0.371,0.268,89.566,4,4.715333333333334,-2.0086166358995565
Ellis Dews,Year 3000,0,2000,0.712,0.94,2,-8.064,1,0.0593,0.00682,0.738,0.101,0.737,168.066,4,2.0050166666666667,-2.3700568081090583
Sam Cooke,(What A) Wonderful World,69,2000,0.691,0.507,11,-10.23,1,0.0343,0.627,0.0,0.457,0.885,128.518,4,2.0906666666666665,-2.5544327124366104
Kyim Jordan,Year 3000,0,2000,0.79,0.459,7,-11.523,1,0.281,0.922,0.0244,0.127,0.154,123.959,4,3.1569166666666666,-2.65020920141236
Linkin Park,Crawling,73,2000,0.58,0.702,4,-5.565,1,0.0337,0.0466,3.2e-06,0.536,0.299,105.076,4,3.482666666666667,-2.1040121956140405
Busted,Year 3000,1,2000,0.595,0.85,11,-6.647,1,0.0367,0.000213,0.0,0.0961,0.894,107.025,4,3.27,-2.227969299613256
Eminem,Bitch Please II,70,2000,0.918,0.586,1,-2.89,1,0.133,0.0783,0.0,0.145,0.779,95.517,4,4.803333333333334,-1.7091022355470458
Busted,Year 3000,1,2000,0.595,0.85,11,-6.647,1,0.0367,0.000213,0.0,0.0961,0.894,107.025,4,3.27,-2.227969299613256
Eminem,Kill You,69,2000,0.897,0.559,11,-8.268,1,0.379,0.155,0.000127,0.296,0.677,106.991,4,4.406666666666666,-2.3889462586420893
JayTheKing,Year 3000,0,2000,0.606,0.538,10,-9.353,0,0.101,0.0952,0.000384,0.125,0.185,146.918,4,2.728,-2.4838227292249626
Gloria Gaynor,I Will Survive - Single Version,68,2000,0.777,0.725,0,-8.681,1,0.05,0.0131,0.00805,0.246,0.529,116.669,4,3.3011,-2.4261292790855005
Space Park,3000 Years,0,2000,0.648,0.468,1,-12.959,0,0.0372,0.00399,0.0281,0.247,0.156,127.947,4,4.633483333333333,-2.7468220956027483
Baha Men,Who Let The Dogs Out,65,2000,0.869,0.887,0,-4.505,1,0.0993,0.0605,0.0,0.148,0.784,129.221,4,3.3066666666666666,-1.9655727105203233
Bossa Nova Beats,Year 3000,0,2000,0.527,0.514,1,-13.863,0,0.0401,0.227,0.823,0.123,0.874,139.996,4,1.9999166666666666,-2.8031785461937875
Kylie Minogue,Spinning Around,49,2000,0.766,0.661,6,-7.267,0,0.0591,0.278,8.56e-05,0.0868,0.585,120.046,4,3.4631166666666666,-2.2926357621403777
Mr. Billy,Year 3000,0,2000,0.761,0.605,9,-14.308,1,0.123,0.04,0.0,0.196,0.783,105.972,4,3.3346666666666667,-2.829795746009359
Enya,Only Time,70,2000,0.418,0.249,3,-13.744,1,0.0301,0.841,0.661,0.112,0.213,82.803,4,3.64245,-2.7959389708479967
